Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayDescription,PlayStart
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,1,0,Kickoff,"G.Zuerlein kicks 65 yards from NYJ 35 to end zone, Touchback.",Kickoff from NYJ 35
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,2,0,5 Yard Pass,(15:00) K.Mond pass short left to J.Kelly to CLE 30 for 5 yards (T.Smart).,1st & 10 at CLE 25
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,3,0,7 Yard Pass,(14:17) (Shotgun) K.Mond pass short right to Z.Mitchell-Paden to CLE 37 for 7 yards (J.Sherwood; H.Nasirildeen). NYJ-H.Nasirildeen was injured during the play. He is Out.,2nd & 5 at CLE 30
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,4,0,1 Yard Run,(13:37) J.Kelly left guard to CLE 38 for 1 yard (B.Echols; M.Clemons).,1st & 10 at CLE 37
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,5,0,8 Yard Run,(13:02) (Shotgun) J.Kelly right guard to CLE 46 for 8 yards (Z.Barnes).,2nd & 9 at CLE 38
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,6,0,15 Yard Penalty,"(12:25) K.Mond pass short right to J.Kelly pushed ob at NYJ 35 for 19 yards (B.Echols).
PENALTY on NYJ-B.Echols, Unnecessary Roughness, 15 yards, enforced at CLE 46 - No Play.
Penalty on CLE, Illegal Formation, superseded.",3rd & 1 at CLE 46
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,7,0,15 Yard Pass,(12:07) K.Mond pass short left to C.Tillman to NYJ 24 for 15 yards (J.Sherwood).,1st & 10 at NYJ 39
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,8,0,Run for No Gain,(11:25) J.Kelly left tackle to NYJ 24 for no gain (B.Echols; Z.Barnes).,1st & 10 at NYJ 24
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,9,0,Pass Incomplete,(10:47) (Shotgun) K.Mond pass incomplete short right to J.Kelly (J.Johnson).,2nd & 10 at NYJ 24
2023,Hall Of Fame,THU,08/03,Jets,Browns,1ST QUARTER,1,CLE,0,10,0,-7 Yard Sack,(10:43) (Shotgun) K.Mond sacked at NYJ 31 for -7 yards (B.Huff).,3rd & 10 at NYJ 24
